phase,ticker,active_days,episodes,cumulative_return,mean_episode_return,median_episode_return,positive_episode_rate,mean_daily_return,median_daily_return,positive_day_rate,active_day_annualized_geometric_return,annualized_volatility
A1,QQQ,201,19,0.4665058532906181,0.02086412361081597,0.01662622407716885,0.631578947368421,0.0019968890508115984,0.00017182665943304976,0.5074626865671642,0.6161259838637991,0.21432390574534657
A1,QLD,201,19,1.0162448845636805,0.03956068830906864,0.03365174881339117,0.631578947368421,0.003855613454272158,0.00024640286554444835,0.5024875621890548,1.4088815965327695,0.42972590856888787
A1,TQQQ,201,19,1.692975267749825,0.05787118499190713,0.05002964713342428,0.631578947368421,0.005727351386167821,0.00019198811658971415,0.5024875621890548,2.462547985357618,0.6357369281820252
A1,XLV,201,19,0.206306550189701,0.01028778775817045,0.006643354731038276,0.5789473684210527,0.000983757219566207,0.0009013954611829522,0.5373134328358209,0.2651034909166967,0.15942026581153085
A1,GLD,201,19,-0.20448976607741287,-0.011324424326995805,-0.009423038303169484,0.47368421052631576,-0.001084462380067038,-0.0008192368783922488,0.48258706467661694,-0.24935172819980267,0.16331850382718877
A2,QQQ,2556,99,3.1432782599954443,0.01615869694340163,0.0018134770027120606,0.5252525252525253,0.0006057996217524877,0.0011951193375651092,0.5708137715179968,0.15044248467080634,0.15770537074033328
A2,QLD,2556,99,9.250476824424577,0.0305296690586728,-0.000913168019955557,0.494949494949495,0.001108069960213965,0.002334787632803481,0.5700312989045383,0.25791363205058815,0.31398698034196576
A2,TQQQ,2556,99,20.145920869633056,0.04675136725212823,-0.003216805959980973,0.494949494949495,0.0016336179288256143,0.003495867805248909,0.5665101721439749,0.35100247278907815,0.46743756497562844
A2,XLV,2556,99,1.6707232696482657,0.010916908506328881,0.00431336358047707,0.5252525252525253,0.00041770690865914803,0.0006687784203358582,0.5356025039123631,0.10169658513604274,0.1294969536806373
A2,GLD,2556,99,1.22352677310365,0.009491597207065213,0.0013643512923526835,0.5151515151515151,0.00036393520267277615,0.0006256411888548863,0.5387323943661971,0.08197056074955178,0.16027245435856521
A3,QQQ,221,24,-0.053626482142904,-0.0018020439601784029,-0.007260844457245119,0.2916666666666667,-0.00015475292843461383,0.0011576421903360945,0.5248868778280543,-0.06091513486422695,0.21791137229718938
A3,QLD,221,24,-0.1566001919108856,-0.005302019168721306,-0.014905388431242561,0.2916666666666667,-0.00038936395440159925,0.0019585256161307463,0.5339366515837104,-0.17651042389537708,0.43512561398357785
A3,TQQQ,221,24,-0.27521760176259846,-0.009768776578681374,-0.02220194933214431,0.2916666666666667,-0.0005992293654740874,0.002840920152205495,0.5339366515837104,-0.30721455586063107,0.6489199378902678
A3,XLV,221,24,0.08405876215251751,0.003610804175164429,0.0031645665825096314,0.625,0.0004187583716215711,0.0,0.497737556561086,0.09640179036153018,0.1641208645351251
A3,GLD,221,24,-0.018609262240369295,-0.0002409695269993961,0.003412786133000556,0.5833333333333334,-2.9638265962623977e-05,0.0010915790702048511,0.5475113122171946,-0.02119176695702929,0.16677496866786864
B1,QQQ,414,52,0.5037423326215225,0.008371901378165018,0.012635815142583384,0.75,0.0010791597756530321,0.0019828931894391166,0.5410628019323671,0.2818720966093087,0.2169597516657385
B1,QLD,414,52,0.9972839999742011,0.015388673988425,0.02394484774662009,0.7307692307692307,0.0020423967901911123,0.0038010980906174607,0.5483091787439613,0.5236191198093714,0.43177975013448283
B1,TQQQ,414,52,1.4547607891604057,0.021936071169459517,0.03507624014411859,0.7307692307692307,0.0030010519549096867,0.0058187259622177745,0.5483091787439613,0.727415812164719,0.6458473806254782
B1,XLV,414,52,0.5017052485464115,0.008205966007207986,0.010070403620416668,0.6346153846153846,0.001035531661098727,0.0014004308032388169,0.5603864734299517,0.28081480305079554,0.16355267591179526
B1,GLD,414,52,0.07256685205377034,0.0017366171639602366,-0.00021734285064450853,0.5,0.00021587831587198153,-0.0001691993601506958,0.4927536231884058,0.043564224674652374,0.15330775694143378
B2,QQQ,673,62,0.9263260878971185,0.011565611904641171,0.013912593389781902,0.6935483870967742,0.0011138664449616778,0.0014458958166412295,0.5586924219910847,0.27824771200159937,0.26486428886729896
B2,QLD,673,62,1.8074308441746458,0.020641843173888917,0.026886837038298528,0.6774193548387096,0.002088710193383132,0.003258193064969772,0.5601783060921248,0.47185863263379946,0.5274645262283335
B2,TQQQ,673,62,2.459828604639313,0.02911056104433425,0.039537799832552456,0.6451612903225806,0.0030749528209075097,0.0040918000694820655,0.563150074294205,0.5916409514606762,0.7842216487433498
B2,XLV,673,62,0.2959765196136257,0.004811663984622362,0.008781730554485057,0.5967741935483871,0.0004675795142589344,0.0006376011644551038,0.5274888558692422,0.10194821325011971,0.2035795814365476
B2,GLD,673,62,0.9211517311360391,0.011240179172389548,0.005453491979637626,0.6129032258064516,0.0010361268214085328,0.000481793613877457,0.5230312035661219,0.2769609675033178,0.18190861750974763
B3,QQQ,66,8,0.10253038943939874,0.015248136762579578,0.045388460505881745,0.75,0.0022730675773971797,0.0001575654074340016,0.5,0.45162653909084516,0.6372346822164866
B3,QLD,66,8,0.07089121631081041,0.02257264766344956,0.08327446724123211,0.75,0.004259790225007683,0.0023723031489444324,0.5151515151515151,0.29889240985483223,1.2798325976315492
B3,TQQQ,66,8,-0.06290993415540591,0.027531785980007675,0.11691232136626484,0.75,0.005936015740245398,0.0002375350645075769,0.5,-0.21971006990775166,1.8665776617918663
B3,XLV,66,8,0.013971389514343402,0.0034736394886249328,0.02164666741797938,0.75,0.0006678738921754049,0.0011712362794742415,0.5151515151515151,0.05440443023865682,0.4831297258542804
B3,GLD,66,8,-0.038599830702953364,-0.004383280212694601,-0.013767768688116244,0.25,-0.00044858828930823116,-0.000519087244876093,0.48484848484848486,-0.13955105706161808,0.27533627326755694
